Online Episode,RMSE Regular,MAE,Mean_RMSE_Regular,IAE,IIAE,ISE,IISE,MAE,Online Episode,RMSE Near,MAE,Mean_RMSE_Near,IAE,IIAE,ISE,IISE,Online Episode,RMSE Zero,MAE,Mean_RMSE_Zero,IAE,IIAE,ISE,IISE
1,0.0036662097572185506,0.02385226738827844,0.004670704040211685,0.41472728752675553,4.816662148086942,0.00946380571680751,0.11792027100761417,0.6158382201923317,1,0.384818498053733,0.6158382201923317,0.14655643310864058,16.569119448302484,139.4288357476494,59.826742802521316,404.32053952868813,1,0.384818498053733,0.6158382201923317,0.09812426016543563,4.8131636404679305,39.01075390048499,1.5770461731355772,10.045117505934087
2,0.003241835125035961,0.012860705030909523,,,,,,0.4414534856763893,2,0.27455339685112534,0.4501727224021865,,,,,,2,0.2692364895394013,0.4414534856763893,,,,,
3,0.0033324310401064796,0.017813397034203413,,,,,,0.31644850145756376,3,0.20070455947579607,0.32907244925518914,,,,,,3,0.19300627808979254,0.31644850145756376,,,,,
4,0.0023911911065916634,0.011922305317343337,,,,,,0.22684066817264115,4,0.14665567817417619,0.24054906962230416,,,,,,4,0.13829914519141226,0.22684066817264115,,,,,
5,0.0025492063330959853,0.010330189154476921,,,,,,0.3621189026483062,5,0.23616713584243923,1.6088777084024235,,,,,,5,0.1495645588485379,0.3621189026483062,,,,,
6,0.002913266846757588,0.0140404896490266,,,,,,0.31085101152567907,6,0.5926914146195961,7.010748931966473,,,,,,6,0.1350032399094495,0.31085101152567907,,,,,
7,0.0029620614890406077,0.014486005986149797,,,,,,0.1198216166263199,7,0.08031670845100065,0.1317181860583132,,,,,,7,0.07306391562593137,0.1198216166263199,,,,,
8,0.0028328983113415315,0.012985381227380188,,,,,,0.25419727485260407,8,0.09602914427390147,0.6018379041097702,,,,,,8,0.07453425685811689,0.25419727485260407,,,,,
9,0.0034968700260591254,0.014422199976342365,,,,,,0.07373138548705027,9,0.05123460267778197,0.08333434405775719,,,,,,9,0.04533102694022156,0.07373138548705027,,,,,
10,0.0051479132919190025,0.024705494035406117,,,,,,0.3909097710492347,10,0.07128028098467754,0.22879942549402693,,,,,,10,0.09060262860004467,0.3909097710492347,,,,,
11,0.006528075272856219,0.024317000335124628,,,,,,0.2803126236467792,11,0.052110749697240506,0.167249178074385,,,,,,11,0.06499146048361289,0.2803126236467792,,,,,
12,0.00557238953520548,0.02270993250118153,,,,,,0.2719879401479401,12,0.3275071142724108,2.301723164676539,,,,,,12,0.08265606663613259,0.2719879401479401,,,,,
13,0.006759257096819244,0.029710046153359926,,,,,,0.060620244997561634,13,0.02149661423442073,0.06383436643296797,,,,,,13,0.018249118729524956,0.060620244997561634,,,,,
14,0.007802618247080487,0.02844683768217232,,,,,,0.33666620121715857,14,0.08117960542979895,0.2846320083698753,,,,,,14,0.10125716231426603,0.33666620121715857,,,,,
15,0.00730341676453457,0.03169751080259953,,,,,,0.1428960977755035,15,0.024417688114688776,0.14670681779088485,,,,,,15,0.02262867097519313,0.1428960977755035,,,,,
16,0.006017043127926308,0.027164909146346783,,,,,,0.2067120695050465,16,0.057054395302685336,0.6349376203158518,,,,,,16,0.03513758990965397,0.2067120695050465,,,,,
17,0.005974349435815787,0.029088513344085576,,,,,,0.14829783417064096,17,0.04189495238888958,0.46597743578701023,,,,,,17,0.02522136774396009,0.14829783417064096,,,,,
18,0.004905857160256852,0.020428826422193694,,,,,,0.10639053796842118,18,0.030763006173370668,0.341974789071281,,,,,,18,0.018103264289927406,0.10639053796842118,,,,,
19,0.005181769496520572,0.023797516142537223,,,,,,0.14240639955917617,19,0.15644644770014415,0.8549603079404012,,,,,,19,0.03789720511997723,0.14240639955917617,,,,,
20,0.004835421340051693,0.019947760197637672,,,,,,0.004662853791582489,20,0.0038066694549346706,0.006174798282510774,,,,,,20,0.0028832594498233405,0.004662853791582489,,,,,
