Online Episode,RMSE Regular,MAE,Mean_RMSE_Regular,IAE,IIAE,ISE,IISE,MAE,Online Episode,RMSE No_STER,MAE,Mean_RMSE_No_STER,IAE,IIAE,ISE,IISE,Online Episode,RMSE No_PI,MAE,Mean_RMSE_No_PI,IAE,IIAE,ISE,IISE,Online Episode,RMSE Near,MAE,Mean_RMSE_Near,IAE,IIAE,ISE,IISE,Online Episode,RMSE Zero,MAE,Mean_RMSE_Zero,IAE,IIAE,ISE,IISE
1,0.0048902761344929825,0.045662632563657546,0.0055726127483099065,2.259961619077388,57.21093894892608,0.10255423849703729,2.582128202162901,3.0273570655405044,1,0.009828442851159795,0.09033155918873748,0.011173415880899101,4.1478278349925155,107.69135086703395,0.3487300216662017,9.279872161903297,1,0.04132398893830435,0.19287373395603913,20.37866964321216,1877.5264675958254,81601.26676053756,351825.4877846478,15685903.132679168,1,2.576526132171325,3.0273570655405044,1.0504532030780935,209.71968869961026,2551.215208402856,4071.18151129554,37941.67118800548,1,2.576526132171325,3.0273570655405044,0.5441773220676567,32.38867618284899,373.6981730867806,48.02743376134415,279.9361296082157
2,0.004964011271529428,0.0458470721929074,,,,,,2.648858261672715,2,0.009773133238346976,0.07536508356616567,,,,,,2,0.0492228577766032,0.21441209515565207,,,,,,2,2.294842559951589,2.648858261672715,,,,,,2,2.294842559951589,2.648858261672715,,,,,
3,0.005024629817296181,0.04590202915834052,,,,,,2.317015170219641,3,0.009246851213492823,0.07607363611284645,,,,,,3,0.06806752517394905,0.4197524287820571,,,,,,3,2.049206114129033,2.317015170219641,,,,,,3,2.049206114129033,2.317015170219641,,,,,
4,0.004945775432702734,0.04625513359896738,,,,,,2.17453106180701,4,0.010340574671292242,0.08472698894368591,,,,,,4,0.11383787118425427,0.9379400347805302,,,,,,4,7.4353253090057585,31.518669259699514,,,,,,4,1.8555152298662883,2.17453106180701,,,,,
5,0.005031661512754971,0.046860879856773785,,,,,,1.9350494647870948,5,0.010380213157349813,0.07801047488783475,,,,,,5,0.08457320832714348,0.5929078577024232,,,,,,5,5.535424160587541,24.448402441731794,,,,,,5,1.651136794538233,1.9350494647870948,,,,,
6,0.005130520349538226,0.04645865126567106,,,,,,1.7342073158041194,6,0.010725406037173715,0.08419003203108089,,,,,,6,0.18424613793718878,1.1240233236305421,,,,,,6,1.604671956565554,5.309128856257889,,,,,,6,1.5085819962140137,1.7342073158041194,,,,,
7,0.005097938147991051,0.04659662355173211,,,,,,1.6342030529545717,7,0.010611173726358796,0.08436762147141419,,,,,,7,0.09172828466583074,0.45852985223002607,,,,,,7,2.426928381946073,9.72442946964699,,,,,,7,1.3998358256355057,1.6342030529545717,,,,,
8,0.005210210689927823,0.04607205809358472,,,,,,1.396940809092394,8,0.011402068612576331,0.08576013597895793,,,,,,8,0.07033978413054788,0.3052612785064479,,,,,,8,1.7030644920735114,8.017457476466024,,,,,,8,1.2216678766671119,1.396940809092394,,,,,
9,0.005267155597658897,0.04565705268745912,,,,,,1.2208228007931876,9,0.011169703169606643,0.09125604548558996,,,,,,9,0.05925856516188437,0.2308404166768363,,,,,,9,1.0799438222837776,1.2208228007931876,,,,,,9,1.0826306598484756,1.2208228007931876,,,,,
10,0.00508524356162531,0.045181974549176385,,,,,,1.158111613366697,10,0.009870091160613367,0.0741793929070873,,,,,,10,0.07046761699972898,0.273414835427944,,,,,,10,1.0294680063249475,1.7882910359802544,,,,,,10,1.019211418562954,1.158111613366697,,,,,
11,0.005007978562490137,0.04646250809216568,,,,,,1.104492264325697,11,0.010238780874794936,0.08452666564971079,,,,,,11,0.08763936804460896,0.5327435519917596,,,,,,11,1.699649898744868,6.87490678198364,,,,,,11,0.9497437096046089,1.104492264325697,,,,,
12,0.005030343927431677,0.04733405738553209,,,,,,1.0439524143087322,12,0.010673562323196674,0.0786402140696798,,,,,,12,0.1544788865496709,0.6503994887780165,,,,,,12,5.979909034722631,42.07323937794978,,,,,,12,0.8859400820053945,1.0439524143087322,,,,,
13,0.005035913560097618,0.04822665138442073,,,,,,0.9312676603749721,13,0.009660517306515794,0.0756319302807209,,,,,,13,0.0817797878145647,0.44048663415857225,,,,,,13,1.4773596371974254,6.139563490951052,,,,,,13,0.7962635998078393,0.9312676603749721,,,,,
14,0.004978157151345884,0.045815126990773614,,,,,,0.8707353902377131,14,0.010107401308074424,0.08238662496490079,,,,,,14,0.09559723293946235,0.6545219800118645,,,,,,14,1.8918148012717213,9.103779799665999,,,,,,14,0.7414191234366856,0.8707353902377131,,,,,
15,0.0051582022402863765,0.04744026796363521,,,,,,0.7388248589857853,15,0.010180953272652761,0.08165588564746828,,,,,,15,0.2536771756495416,0.9557891760793211,,,,,,15,0.6431729144101616,0.7388248589857853,,,,,,15,0.6448807988212233,0.7388248589857853,,,,,
16,0.005455855855789903,0.04684239350660313,,,,,,0.682697801214625,16,0.010231813015975266,0.07629531373616194,,,,,,16,0.7307874937032997,3.9728712476045596,,,,,,16,2.7887439438537305,11.118916193540672,,,,,,16,0.5795752920925287,0.682697801214625,,,,,
17,0.005202599003879608,0.04622780323229536,,,,,,0.607577883337167,17,0.009618686508098965,0.07975759699764895,,,,,,17,0.6931569008620438,3.407782063361362,,,,,,17,2.109190781664255,8.97486503335037,,,,,,17,0.5130820662830743,0.607577883337167,,,,,
